user_id,axis1_kmeans_label,axis2_kmeans_label,axis3_kmeans_label,axis4_kmeans_label
USR-00001,Aggressive,Entry,Essential spender,Casual
USR-00002,Conservative,Entry,Essential spender,Casual
USR-00003,Aggressive,Entry,Tech/Digital native,Casual
USR-00004,Conservative,Affluent,Family/Home,Power user
USR-00005,Aggressive,Entry,Essential spender,Casual
USR-00006,Aggressive,Entry,Essential spender,Casual
USR-00007,Moderate,Entry,Traveler,Power user
USR-00008,Aggressive,Entry,Essential spender,Casual
USR-00009,Conservative,Entry,Traveler,Casual
USR-00010,,,Tech/Digital native,Casual
USR-00011,,,Family/Home,Casual
USR-00012,Distressed,Entry,Traveler,Power user
USR-00013,Moderate,Entry,Traveler,Casual
USR-00014,Moderate,Entry,Family/Home,Power user
USR-00015,Aggressive,Entry,Traveler,Power user
USR-00016,Aggressive,Entry,Traveler,Power user
USR-00017,Conservative,Established,Family/Home,Power user
USR-00018,Moderate,Entry,Traveler,Power user
USR-00019,,,Traveler,Dormant
USR-00020,Conservative,Affluent,Family/Home,Power user
USR-00021,,,Traveler,Casual
USR-00022,,,Status spender,Casual
USR-00023,Aggressive,Entry,Traveler,Power user
USR-00024,Conservative,Affluent,Family/Home,Power user
USR-00025,Aggressive,Entry,Traveler,Power user
USR-00026,Conservative,Entry,Essential spender,Casual
USR-00027,,,Traveler,Casual
USR-00028,Aggressive,Entry,Essential spender,
USR-00029,Aggressive,Growing,Tech/Digital native,Power user
USR-00030,Aggressive,Entry,Essential spender,Power user
USR-00031,Distressed,Entry,Traveler,Casual
USR-00032,Conservative,Established,Family/Home,Power user
USR-00033,Distressed,Entry,Traveler,Casual
USR-00034,,,Family/Home,Power user
USR-00035,Moderate,Established,Family/Home,Power user
USR-00036,Conservative,Entry,Traveler,
USR-00037,Conservative,Entry,Essential spender,Casual
USR-00038,Conservative,Entry,Traveler,Power user
USR-00039,,,Traveler,At-risk
USR-00040,Conservative,Entry,Family/Home,Power user
USR-00041,Conservative,Entry,Traveler,Casual
USR-00042,Distressed,Entry,Traveler,Casual
USR-00043,Moderate,Growing,Status spender,Power user
USR-00044,Aggressive,Entry,Tech/Digital native,Casual
USR-00045,,,Traveler,Dormant
USR-00046,Conservative,Entry,Essential spender,Casual
USR-00047,Moderate,Entry,Traveler,Power user
USR-00048,Conservative,Affluent,Family/Home,Power user
USR-00049,,,Tech/Digital native,Casual
USR-00050,Moderate,Growing,Status spender,Power user
USR-00051,Aggressive,Growing,Status spender,
USR-00052,Conservative,Entry,Foodie/Social,
USR-00053,Conservative,Entry,Traveler,Dormant
USR-00054,Conservative,Entry,Family/Home,Casual
USR-00055,Conservative,Established,Family/Home,
USR-00056,Conservative,Entry,Tech/Digital native,Casual
USR-00057,Conservative,Affluent,Family/Home,Power user
USR-00058,Distressed,Entry,Traveler,Power user
USR-00059,,,Traveler,At-risk
USR-00060,Aggressive,Growing,Status spender,Power user
USR-00061,,,Status spender,Casual
USR-00062,Distressed,Entry,Traveler,Power user
USR-00063,Moderate,Established,Family/Home,Power user
USR-00064,Distressed,Entry,Traveler,Power user
USR-00065,Aggressive,Entry,Essential spender,Casual
USR-00066,Conservative,Entry,Traveler,
USR-00067,Distressed,Entry,Traveler,Casual
USR-00068,Conservative,Entry,Traveler,Casual
USR-00069,Conservative,Growing,Tech/Digital native,Power user
USR-00070,Distressed,Entry,Traveler,Casual
USR-00071,,,Essential spender,Casual
USR-00072,Aggressive,Entry,Traveler,Casual
USR-00073,Moderate,Established,Family/Home,Power user
USR-00074,,,Foodie/Social,Dormant
USR-00075,Moderate,Growing,Status spender,Power user
USR-00076,Moderate,Entry,Tech/Digital native,Power user
USR-00077,Conservative,Entry,Traveler,Power user
USR-00078,Moderate,Growing,Status spender,
USR-00079,,,Foodie/Social,At-risk
USR-00080,Distressed,Entry,Traveler,Power user
USR-00081,,,Family/Home,Casual
USR-00082,Conservative,Entry,Traveler,Casual
USR-00083,Distressed,Entry,Traveler,Power user
USR-00084,,,Family/Home,Casual
USR-00085,Distressed,Entry,Traveler,Power user
USR-00086,Conservative,Entry,Family/Home,Power user
USR-00087,Aggressive,Entry,Essential spender,Casual
USR-00088,Aggressive,Entry,Traveler,At-risk
USR-00089,,,Traveler,Casual
USR-00090,Conservative,Growing,Status spender,
USR-00091,Conservative,Entry,Traveler,Power user
USR-00092,,,Traveler,Casual
USR-00093,Distressed,Entry,Traveler,Casual
USR-00094,Conservative,Entry,Essential spender,
USR-00095,Conservative,Entry,Traveler,Casual
USR-00096,,,Traveler,Dormant
USR-00097,,,Traveler,
USR-00098,Conservative,Entry,Tech/Digital native,Power user
USR-00099,Distressed,Entry,Traveler,Casual
USR-00100,,,Traveler,Casual
USR-00101,Conservative,Entry,Traveler,Casual
USR-00102,Conservative,Entry,Essential spender,Casual
USR-00103,,,Traveler,
USR-00104,,,Family/Home,
USR-00105,,,Essential spender,Casual
USR-00106,Moderate,Entry,Traveler,
USR-00107,Moderate,Entry,Essential spender,Casual
USR-00108,Aggressive,Entry,Traveler,Power user
USR-00109,Conservative,Entry,Traveler,At-risk
USR-00110,,,Traveler,Casual
USR-00111,Conservative,Growing,Status spender,Power user
USR-00112,,,Family/Home,Power user
USR-00113,,,Traveler,At-risk
USR-00114,Moderate,Established,Family/Home,Power user
USR-00115,Conservative,Entry,Traveler,Casual
USR-00116,,,Family/Home,Casual
USR-00117,Moderate,Entry,Tech/Digital native,Casual
USR-00118,Conservative,Entry,Essential spender,Power user
USR-00119,Distressed,Entry,Traveler,Casual
USR-00120,Aggressive,Growing,Status spender,Power user
USR-00121,Moderate,Entry,Traveler,Power user
USR-00122,,,Tech/Digital native,Casual
USR-00123,Aggressive,Entry,Essential spender,Casual
USR-00124,,,Foodie/Social,At-risk
USR-00125,Aggressive,Entry,Essential spender,Casual
USR-00126,,,Traveler,Casual
USR-00127,Conservative,Entry,Traveler,Casual
USR-00128,Aggressive,Entry,Essential spender,Casual
USR-00129,Conservative,Established,Family/Home,Power user
USR-00130,Conservative,Affluent,Family/Home,Power user
USR-00131,,,Family/Home,Casual
USR-00132,Conservative,Entry,Traveler,Casual
USR-00133,Distressed,Entry,Traveler,Power user
USR-00134,Conservative,Established,Family/Home,Power user
USR-00135,Moderate,Entry,Essential spender,Casual
USR-00136,,,Traveler,At-risk
USR-00137,,,Foodie/Social,At-risk
USR-00138,Moderate,Established,Traveler,Power user
USR-00139,Conservative,Affluent,Family/Home,Power user
USR-00140,Moderate,Entry,Traveler,Power user
USR-00141,,,Traveler,Casual
USR-00142,Conservative,Entry,Foodie/Social,Dormant
USR-00143,,,Traveler,Dormant
USR-00144,Conservative,Affluent,Family/Home,Power user
USR-00145,Conservative,Affluent,Family/Home,Power user
USR-00146,Conservative,Affluent,Family/Home,Power user
USR-00147,,,Traveler,Casual
USR-00148,Distressed,Entry,Traveler,Power user
USR-00149,Conservative,Entry,Family/Home,
USR-00150,Conservative,Growing,Status spender,Power user
USR-00151,,,Traveler,Casual
USR-00152,Moderate,Growing,Essential spender,Power user
USR-00153,Conservative,Entry,Traveler,
USR-00154,,,Traveler,Casual
USR-00155,Conservative,Affluent,Family/Home,Power user
USR-00156,,,Essential spender,Casual
USR-00157,Conservative,Established,Family/Home,Power user
USR-00158,Conservative,Entry,Essential spender,Casual
USR-00159,,,Family/Home,Casual
USR-00160,Moderate,Entry,Essential spender,Casual
USR-00161,,,Traveler,Dormant
USR-00162,Aggressive,Entry,Traveler,Casual
USR-00163,Moderate,Entry,Family/Home,Power user
USR-00164,Conservative,Growing,Status spender,Power user
USR-00165,Conservative,Affluent,Family/Home,Power user
USR-00166,Conservative,Entry,Family/Home,Power user
USR-00167,Moderate,Entry,Essential spender,Power user
USR-00168,Conservative,Entry,Traveler,Power user
USR-00169,,,Traveler,Dormant
USR-00170,Conservative,Affluent,Family/Home,Power user
USR-00171,Moderate,Entry,Traveler,Power user
USR-00172,Conservative,Growing,Status spender,Power user
USR-00173,Aggressive,Entry,Traveler,Power user
USR-00174,Distressed,Entry,Traveler,Casual
USR-00175,Distressed,Entry,Traveler,Power user
USR-00176,Conservative,Entry,Foodie/Social,At-risk
USR-00177,Aggressive,Entry,Traveler,Power user
USR-00178,Moderate,Entry,Traveler,Casual
USR-00179,Aggressive,Entry,Traveler,Power user
USR-00180,Aggressive,Entry,Traveler,Power user
USR-00181,Aggressive,Entry,Traveler,
USR-00182,,,Traveler,At-risk
USR-00183,Conservative,Growing,Status spender,Power user
USR-00184,Conservative,Entry,Essential spender,Power user
USR-00185,,,Traveler,At-risk
USR-00186,Conservative,Established,Family/Home,Power user
USR-00187,,,Traveler,At-risk
USR-00188,Distressed,Entry,Traveler,Casual
USR-00189,,,Family/Home,Casual
USR-00190,Moderate,Entry,Essential spender,Casual
USR-00191,Conservative,Entry,Traveler,Casual
USR-00192,,,Status spender,Casual
USR-00193,,,Traveler,Dormant
USR-00194,,,Traveler,At-risk
USR-00195,Distressed,Entry,Traveler,Casual
USR-00196,Conservative,Growing,Status spender,Power user
USR-00197,Moderate,Entry,Traveler,Power user
USR-00198,Conservative,Growing,Status spender,Power user
USR-00199,Moderate,Growing,Status spender,Power user
USR-00200,,,Traveler,At-risk
USR-00201,Conservative,Entry,Traveler,Power user
USR-00202,Aggressive,Entry,Essential spender,Casual
USR-00203,,,Essential spender,Casual
USR-00204,Conservative,Entry,Tech/Digital native,Power user
USR-00205,Conservative,Entry,Traveler,At-risk
USR-00206,Moderate,Entry,Traveler,Power user
USR-00207,,,Traveler,At-risk
USR-00208,Distressed,Entry,Traveler,Casual
USR-00209,,,Status spender,Casual
USR-00210,,,Status spender,Casual
USR-00211,Aggressive,Entry,Essential spender,Power user
USR-00212,,,Traveler,Casual
USR-00213,,,Essential spender,Casual
USR-00214,,,Traveler,Casual
USR-00215,,,Family/Home,Power user
USR-00216,,,Foodie/Social,Dormant
USR-00217,Aggressive,Entry,Traveler,Power user
USR-00218,Distressed,Entry,Traveler,Casual
USR-00219,Conservative,Growing,Status spender,Power user
USR-00220,Conservative,Entry,Traveler,Power user
USR-00221,Conservative,Entry,Tech/Digital native,Power user
USR-00222,Aggressive,Entry,Family/Home,Power user
USR-00223,Distressed,Entry,Traveler,Power user
USR-00224,Distressed,Entry,Traveler,Casual
USR-00225,Conservative,Entry,Traveler,Casual
USR-00226,,,Essential spender,Casual
USR-00227,Aggressive,Growing,Status spender,Power user
USR-00228,Moderate,Affluent,Family/Home,Power user
USR-00229,Moderate,Entry,Essential spender,Casual
USR-00230,Conservative,Established,Family/Home,Power user
USR-00231,,,Traveler,Casual
USR-00232,Moderate,Affluent,Family/Home,Power user
USR-00233,,,Traveler,Power user
USR-00234,Conservative,Entry,Traveler,Casual
USR-00235,Conservative,Entry,Traveler,Power user
USR-00236,Conservative,Entry,Traveler,
USR-00237,Conservative,Entry,Family/Home,Power user
USR-00238,Aggressive,Entry,Tech/Digital native,Casual
USR-00239,Conservative,Established,Family/Home,Power user
USR-00240,Conservative,Entry,Traveler,Power user
USR-00241,,,Essential spender,Casual
USR-00242,,,Essential spender,Casual
USR-00243,Aggressive,Entry,Essential spender,Casual
USR-00244,Conservative,Entry,Tech/Digital native,Power user
USR-00245,Aggressive,Entry,Traveler,Power user
USR-00246,Aggressive,Entry,Traveler,Power user
USR-00247,Distressed,Entry,Traveler,Casual
USR-00248,,,Traveler,At-risk
USR-00249,Conservative,Entry,Family/Home,Power user
USR-00250,Distressed,Entry,Traveler,Power user
USR-00251,Distressed,Entry,Traveler,Power user
USR-00252,,,Family/Home,Power user
USR-00253,Moderate,Entry,Family/Home,Power user
USR-00254,,,Traveler,Casual
USR-00255,Moderate,Affluent,Family/Home,Power user
USR-00256,Aggressive,Growing,Status spender,Power user
USR-00257,Aggressive,Entry,Traveler,Casual
USR-00258,,,Traveler,Dormant
USR-00259,Conservative,Entry,Tech/Digital native,Casual
USR-00260,Conservative,Growing,Status spender,Power user
USR-00261,Conservative,Entry,Tech/Digital native,Casual
USR-00262,Moderate,Entry,Traveler,Casual
USR-00263,Conservative,Growing,Family/Home,Power user
USR-00264,Aggressive,Entry,Essential spender,Casual
USR-00265,Moderate,Entry,Traveler,Power user
USR-00266,Distressed,Entry,Traveler,Power user
USR-00267,Conservative,Growing,Status spender,Power user
USR-00268,,,Family/Home,Casual
USR-00269,Moderate,Entry,Essential spender,Power user
USR-00270,,,Tech/Digital native,Casual
USR-00271,Conservative,Entry,Family/Home,Power user
USR-00272,,,Traveler,Casual
USR-00273,Conservative,Entry,Traveler,Power user
USR-00274,Conservative,Entry,Traveler,Power user
USR-00275,Conservative,Affluent,Family/Home,Power user
USR-00276,,,Traveler,Dormant
USR-00277,Moderate,Affluent,Family/Home,Power user
USR-00278,Moderate,Growing,Status spender,
USR-00279,,,Traveler,Dormant
USR-00280,Conservative,Affluent,Family/Home,Power user
USR-00281,,,Traveler,At-risk
USR-00282,,,Family/Home,Power user
USR-00283,Conservative,Established,Family/Home,Power user
USR-00284,Distressed,Entry,Traveler,Casual
USR-00285,Conservative,Entry,Family/Home,Power user
USR-00286,Conservative,Established,Family/Home,Power user
USR-00287,Aggressive,Growing,Status spender,Power user
USR-00288,,,Traveler,Dormant
USR-00289,,,Traveler,Power user
USR-00290,,,Foodie/Social,
USR-00291,,,Status spender,
USR-00292,Moderate,Growing,Status spender,Power user
USR-00293,Conservative,Entry,Tech/Digital native,Casual
USR-00294,Aggressive,Entry,Traveler,Casual
USR-00295,Moderate,Affluent,Family/Home,Power user
USR-00296,Conservative,Growing,Status spender,Power user
USR-00297,Moderate,Entry,Traveler,At-risk
USR-00298,Aggressive,Entry,Traveler,Power user
USR-00299,Distressed,Entry,Traveler,Casual
USR-00300,Aggressive,Entry,Status spender,Power user
USR-00301,Aggressive,Entry,Traveler,Power user
USR-00302,,,Traveler,At-risk
USR-00303,,,Essential spender,Casual
USR-00304,,,Family/Home,Casual
USR-00305,Conservative,Growing,Status spender,Power user
USR-00306,Aggressive,Entry,Traveler,Casual
USR-00307,,,Traveler,Casual
USR-00308,Conservative,Established,Family/Home,Power user
USR-00309,,,Essential spender,Casual
USR-00310,Conservative,Affluent,Family/Home,Power user
USR-00311,Aggressive,Entry,Tech/Digital native,Casual
USR-00312,,,Traveler,Casual
USR-00313,Moderate,Entry,Traveler,Casual
USR-00314,,,Traveler,Dormant
USR-00315,,,Traveler,At-risk
USR-00316,,,Status spender,Casual
USR-00317,Moderate,Entry,Traveler,Power user
USR-00318,,,Essential spender,Casual
USR-00319,Conservative,Entry,Traveler,Casual
USR-00320,Moderate,Entry,Traveler,Casual
USR-00321,,,Traveler,At-risk
USR-00322,Conservative,Entry,Family/Home,Power user
USR-00323,,,Family/Home,Casual
USR-00324,Conservative,Established,Family/Home,Power user
USR-00325,Conservative,Established,Family/Home,Power user
USR-00326,Moderate,Entry,Traveler,Power user
USR-00327,Conservative,Affluent,Family/Home,Power user
USR-00328,Aggressive,Entry,Tech/Digital native,Casual
USR-00329,,,Essential spender,Casual
USR-00330,Distressed,Entry,Traveler,Casual
USR-00331,Conservative,Affluent,Family/Home,Power user
USR-00332,Aggressive,Entry,Traveler,Power user
USR-00333,Moderate,Entry,Traveler,Casual
USR-00334,Aggressive,Entry,Essential spender,Casual
USR-00335,Conservative,Growing,Status spender,Power user
USR-00336,Aggressive,Entry,Traveler,Power user
USR-00337,Distressed,Entry,Traveler,Casual
USR-00338,Moderate,Entry,Traveler,Power user
USR-00339,Aggressive,Entry,Traveler,Power user
USR-00340,Moderate,Growing,Status spender,Power user
USR-00341,,,Family/Home,Casual
USR-00342,Moderate,Established,Family/Home,Power user
USR-00343,Conservative,Affluent,Traveler,Power user
USR-00344,Aggressive,Entry,Traveler,Power user
USR-00345,Distressed,Entry,Traveler,Casual
USR-00346,Conservative,Entry,Essential spender,Casual
USR-00347,Conservative,Entry,Traveler,Power user
USR-00348,,,Essential spender,Casual
USR-00349,Aggressive,Entry,Tech/Digital native,Casual
